text,sa_coarse,sa_fine_modified
"Heute hat mir mein Arbeitskollege, der zweieinhalb Jahre vor der Rente steht, erzählt, dass seine Frau unheilbar an Lungenkrebs erkrankt ist.",ASSERTIVE,ASSERT
Am Samstag war ich zur Halbzeit schon besoffen,ASSERTIVE,ASSERT
Die Afrikascheiße fliegt uns bald um die Ohren....,ASSERTIVE,PREDICT
|LBR| Dumm und Dümmer sind die Lehrmeister an deutschen Schulen.,EXPRESSIVE,COMPLAIN
Allerdings waren die Lügen so offensichtlich....,ASSERTIVE,ASSERT
mir klappen Dien Fußnägel hoch,EXPRESSIVE,COMPLAIN
Weg mit dem #PKK-Verbot.,DIRECTIVE,REQUIRE
@hassanhadjali,DIRECTIVE,ADDRESS
Einfach nur zum Kotzen.,EXPRESSIVE,COMPLAIN
Mir fallen spontan einige Kochtopf Inhalte ein.,ASSERTIVE,ASSERT
#FDP,OTHER,OTHER
Ich hasse diesen Klassenkampf,UNSURE,UNSURE
"Stimmt, die Denunzianten und Gutmenschen haben an dieser Umfrage ein Gefallen gefunden, aber wirklich ärgern tut mich das nicht,",ASSERTIVE,AGREE
"Ich muss mich von ungebildeten, überbezahlten politischen Phrasendreschern nicht als Nazi, Pack, oder Populist bezeichnen lassen!!!",EXPRESSIVE,COMPLAIN
Denn so was können wir gern vor Gericht diskutieren.,COMMISSIVE,COMMISSIVE
"Na ja, Du als Moslem musst Juden ja hassen.",UNSURE,UNSURE
Interview mit Ragdahd.,ASSERTIVE,ASSERT
die da #unten können ja verrecken,EXPRESSIVE,COMPLAIN
|LBR| Aber ansonsten ist alles genau so passiert!,EXPRESSIVE,COMPLAIN
"geh zum pc,",UNSURE,UNSURE
|LBR| Noch mehr von diesen resthirnbefreiten Labertaschen und wir können den Laden dichtmachen.,ASSERTIVE,PREDICT
@MDR_SAN @DemokratieMeile,DIRECTIVE,ADDRESS
Ich hätte auch gerne ne SUpiDupi Friedliche Welt.,EXPRESSIVE,WISH
@rspctfl @ergroovt @Innenwelttramp @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari,DIRECTIVE,ADDRESS
Leider wahr.,EXPRESSIVE,COMPLAIN
Wir brauchen die Kinderarmut um druck auf die Eltern auszuüben das sie auf Lohnerhöhungen verzichten und für jeden Hungerlohn Malochen gehen.,EXPRESSIVE,COMPLAIN
@DerGegenspieler,DIRECTIVE,ADDRESS
Zusammen sind wir eine völlig normale Existenz!,ASSERTIVE,ASSERT
"ob für den sozialistischen staat o das kapital ... d hat nichts, gar nichts mit radikalem Humanismus zu tun!",ASSERTIVE,ASSERT
"Biermann steht für das was er im Namen hat,",ASSERTIVE,ASSERT
"|LBR| ATh beschwert sich darüber, dass andere die Gelder ihres Verlages verschwenden",ASSERTIVE,ASSERT
Na und?,DIRECTIVE,REQUEST
das wäre gut für Niedriglöhner Hartz IV Empfänger aber warum sollen auch Reiche |LBR| kostenlose Kitas haben?,DIRECTIVE,REQUEST
@anna_IIna,DIRECTIVE,ADDRESS
"da geht auch kein erklären,",ASSERTIVE,ASSERT
Egal ob er sich die Zähne putzt oder nicht.,ASSERTIVE,GUESS
Der Staatsfunk hat halt einen politischen Auftrag.,UNSURE,UNSURE
"Diabedes is da,",UNSURE,UNSURE
#fcsp,OTHER,OTHER
@tagesschau,DIRECTIVE,ADDRESS
Was ist das?.,DIRECTIVE,REQUEST
Dieses heuchlerische Weib !,EXPRESSIVE,COMPLAIN
"Ich würde Herrn Voigts nun nicht als ""Journalisten"" bezeichnen...",UNSURE,UNSURE
Niemand half.,ASSERTIVE,ASSERT
@cyclinginside @66Norweger66,DIRECTIVE,ADDRESS
"Nach dem totalen Irrsinn, den Diesel, bzw. den Verbrennungsmotor abzuschaffen, quetscht man die letzten Jahre über den Spritpreis den letzten Euro aus uns heraus.",EXPRESSIVE,COMPLAIN
@RolandTichy,DIRECTIVE,ADDRESS
😳,EXPRESSIVE,expressEMOJI
😃😃,EXPRESSIVE,expressEMOJI
Was soll #ES im Militär?,DIRECTIVE,REQUEST
Oder wird das mittlerweile schon unter Strafe gestellt?,DIRECTIVE,REQUEST
DDR: Knast wegen Spionage,ASSERTIVE,ASSERT
@toteraufurlaub @togliatti47,DIRECTIVE,ADDRESS
Steht ja in Deinem Heiligen Buch drin.,ASSERTIVE,ASSERT
"Muss einem Antifa noch ein Messer in den Bauch gerammt werden, damit ihr die Wichser als das seht, was sie sind?",DIRECTIVE,REQUEST
Die sozis können mir fern bleiben ...,ASSERTIVE,ASSERT
keine Ahnung wie man das nennt!,ASSERTIVE,ASSERT
"Wer nicht AfD wählt, trägt Mitschuld an dem was auf uns zu rast.",ASSERTIVE,ASSERT
Die BRD ist eine einzige Schande,EXPRESSIVE,COMPLAIN
🤣🤣🤣,EXPRESSIVE,expressEMOJI
"Sie hat ihn aber nicht erfunden und veranstaltet ihn nicht, wie ihr schmierigen Lügner behauptet...",ASSERTIVE,EXCLUDED
@ThomasOppermann,DIRECTIVE,ADDRESS
Zudem hast DU die Aussage getätigt.,ASSERTIVE,ASSERT
@cyclinginside,DIRECTIVE,ADDRESS
Irre...,EXPRESSIVE,COMPLAIN
"Ach, und die Zionistischen Staatsterroristen bezahlen keine Hinterbliebenenrente, wenn einer ihrer Killer über die Wupper geht?",DIRECTIVE,REQUEST
|LBR| Die sollen weiterhin in ihrer Scheißprovinz bleiben,DIRECTIVE,REQUIRE
"Ich würde ihnen gern eine arte Doku zum Thema zukommen lassen,",ASSERTIVE,ASSERT
Gott behüte.,COMMISSIVE,COMMISSIVE
|LBR| Dann schlafen.,COMMISSIVE,COMMISSIVE
#cdu,OTHER,OTHER
"Abschiebung krimineller Migranten nicht möglich, weil denen in ihrer Heimat eventuell Gefahr droht.",ASSERTIVE,SUSTAIN
"|LBR| ""FRESSE!""",DIRECTIVE,REQUIRE
Man könnte den Islam auch verlassen.,ASSERTIVE,ASSERT
Das ist ja gerade das gruselige.,EXPRESSIVE,COMPLAIN
:-(,EXPRESSIVE,expressEMOJI
@MENA_WATCH @Ilona_GR_DE @CarolHakios @Kaputtnikkkk @palactnet @stefanolix @SDGMasterglass @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva @BR24,DIRECTIVE,ADDRESS
|LBR| Heißer Sommer = Klimawandel,ASSERTIVE,ASSERT
wahrscheinlich nur verschrieben oder?,DIRECTIVE,REQUEST
"Sicher, dass er einfach nicht weiß, wie das geht?",DIRECTIVE,REQUEST
@polizei_nrw_ge,DIRECTIVE,ADDRESS
Wer die Geschichte kennt weiß das ein Banken System ohne uns niemals möglich gewesen wäre.,ASSERTIVE,ASSERT
@welt,DIRECTIVE,ADDRESS
"Und Tierfeinde die mit Vegan und Veggie heucheln, aber wenn der bunte Moslem seinen Amoklauf durchzieht, ist das auf einmal dufte.",EXPRESSIVE,COMPLAIN
@JuttaMBrandt,DIRECTIVE,ADDRESS
@bruck_68 @rspctfl @Innenwelttramp @nadine_wickert @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari,DIRECTIVE,ADDRESS
Der Vorwurf: vorauseilender Gehorsam (Auf Deutsch sie steckt zu tief im Arsch der #Merkel) gegenüber der #CDU.,ASSERTIVE,ASSERT
"Gerade in Norwegen: Nordlichter im immerdunklen Himmel, geschlossene Schneedecken in endlosen Wäldern und glasklare Flüsse durch eiserne Täler",ASSERTIVE,ASSERT
@cicero_online,DIRECTIVE,ADDRESS
"""Ob friedlich oder militant, wichtig ist der Widerstand!""",ASSERTIVE,ASSERT
"Fuck,",EXPRESSIVE,COMPLAIN
"das fängt beim beschatten auf demos an, geht zur verfolgung bis vor die haustür weiter und hört auf wenn du zusammengetreten wirst.",ASSERTIVE,ASSERT
"""Zusammenstöße zw GLÄUBIGEN (Richtig: #Islamisten) &amp; Sicherheitskräften""",ASSERTIVE,ASSERT
Dieser Mann ist eine Gefahr für D.,ASSERTIVE,ASSERT
wie wäre es mit mehr Polize,DIRECTIVE,REQUEST
Jetzt ist es AMTLICH |LBR|,ASSERTIVE,ASSERT
"Klar, ungleiche Rechte sind für Dich gerecht.",EXPRESSIVE,COMPLAIN
Wie man Merkel auslacht und verhöhnt!!!,ASSERTIVE,ASSERT
Niemand rief an.,ASSERTIVE,ASSERT
"Vielleicht hatte sie ihre Tage, oder so.",ASSERTIVE,GUESS
Diese Entwicklung innerhalb der SPD ist doch nicht das Ergebnis seit der letzten BTW.,ASSERTIVE,EXCLUDED
"Verpack Deine Tüten in der Öffentlichkeit,",DIRECTIVE,REQUIRE
@equilibrium1986 @Martin_Sellner @b_thaler,DIRECTIVE,ADDRESS
"Wie viele Messerattacken, Gruppenvergewaltigungen und Terrorangriffe sind wir bereit hinzunehmen, bevor wir unsere Zurückhaltung aufgeben?",DIRECTIVE,REQUEST
ich will noch mehr kotzen!,EXPRESSIVE,COMPLAIN
|LBR| Ich mach' den ganzen Tag nichts anderes...,ASSERTIVE,ASSERT
Ist das Ihr Ernst?,DIRECTIVE,REQUEST
dafür brauchten sie 15 Jahre um das einzusehen,ASSERTIVE,ASSERT
"Und das Mandat der Ausgetretenen zurückfordern haben schon ""wir""Piraten damals gemacht.",ASSERTIVE,ASSERT
"Das sollte wieder eingeführt werden,",DIRECTIVE,REQUEST
@Ollowain_,DIRECTIVE,ADDRESS
Für das @morgenmagazin ist der Naziaufmarsch eine Auseinandersetzung zwischen links und rechts ...,ASSERTIVE,ASSERT
@Fleischauge @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @vonBeutelratte @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
Gibt unbestreitbar kein besseres Rezept,ASSERTIVE,ASSERT
@Helheimer,DIRECTIVE,ADDRESS
LBR| Meldemuschi?,DIRECTIVE,REQUEST
Richtig.,ASSERTIVE,AGREE
"Die einzigen Menschen die in D brennen, sind Obdachlose die von Fugees angezündet werden.",ASSERTIVE,ASSERT
@heutejournal,DIRECTIVE,ADDRESS
@AchimSpiegel @Renft1964,DIRECTIVE,ADDRESS
@MENA_WATCH @vonBeutelratte @AlbertBartenst1 @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @TheMossadIL,DIRECTIVE,ADDRESS
"uss erst die Forderung vom JW erfüllt werden „Antikommunisten totzuschlagen“ damit ihr erkennt, dass das kein schützenswerter Teil einer radikalen Linken ist?!",DIRECTIVE,REQUEST
@B_Rydlewski,DIRECTIVE,ADDRESS
"sag bescheid, wenn er zu Scheiße geworden ist",DIRECTIVE,REQUIRE
"Die Höhe des Gehalts wenn Scheuer Bahn Vorstand wird,",UNSURE,UNSURE
#CDU-Parteitag: Wahl von #Ziemiak „Griff ins Klo von #AKK“ – harte Kritik auch von #SPD Altkanzler Schröder.,ASSERTIVE,ASSERT
Der Zuckerduft ausm Maul kommt aber nur bei Typ 1.,ASSERTIVE,ASSERT
"Ich ärgere mich nur, dass Leute eine andere Ansicht als ich haben, weil ich sehr kluk bin)",EXPRESSIVE,COMPLAIN
"Wir sind nicht mehr Papst,",ASSERTIVE,ASSERT
@mountainman1977,DIRECTIVE,ADDRESS
#GenderDay,OTHER,OTHER
"Ach ja, ist ja kompliziert,",ASSERTIVE,ASSERT
"""Aufstand der Anständigen"", my ass!",EXPRESSIVE,COMPLAIN
das Interessiert keinen weil keiner die sPD Wählt.,ASSERTIVE,ASSERT
"Darf man eigentlich noch sagen, Deutschland den deutschen Ausländer raus?",DIRECTIVE,REQUEST
Stegner ist ein absoluter Proll Idiot.,EXPRESSIVE,COMPLAIN
"Stimmungsbarometer heute: |LBR| Mit einem Amazon-Spamversuch-Sackgesicht einen Beef beginnen mit den Worten ""Fuck you, asshole!""",ASSERTIVE,ASSERT
... richtig!,UNSURE,UNSURE
@Der_Neponip @Pinky_pcww,DIRECTIVE,ADDRESS
@DPolGHH @gagaberlin,DIRECTIVE,ADDRESS
Wie dumm u verblendet muss man sein um das nicht zu erkennen?,DIRECTIVE,REQUEST
@_denk_mal_,DIRECTIVE,ADDRESS
"Der Genosse Robespierre unterbreitet den Vorschlag: wenn die Rübe runter ist, ist auch die Scheisse draussen",ASSERTIVE,ASSERT
"#EuropaistdieAntwort auf eine Frage, die keiner gestellt hat.",ASSERTIVE,ASSERT
Und Grenzen todsicher machen!,UNSURE,UNSURE
Wer hat den die Heulsuse ausgebuddelt...,DIRECTIVE,REQUEST
"Passend dazu hatte ich gestern die Frage gestellt, ob die zugegeben sehr wahrscheinliche Existenz vereinzelter sachlicher Texte genügt, um eine staatlich finanzierte Wissenschaft zu legitimieren, die größtenteils jedoch falsch liegt",ASSERTIVE,ASSERT
|LBR| Wers begreift wird zum Nazi erklärt.,ASSERTIVE,ASSERT
"Harte Liebe für die strunzdoofe Kollegin, die eben vor mir an der Tiefgaragenschranke stand und nach ihrer Zufahrtskarte wühlte.",EXPRESSIVE,COMPLAIN
An der Universität von Queeristan?,DIRECTIVE,REQUEST
"|LBR| Und Jutta, das ist doch nicht meine Meinung zum Kopftuch -",ASSERTIVE,ASSERT
"|LBR| man betrauert ertrunkende Menschen im Mittelmeer, während in Deutschland Menschen erfrieren.",EXPRESSIVE,COMPLAIN
"(kein Deutscher muss bald mehr arbeiten),",ASSERTIVE,PREDICT
@anna_IIna,DIRECTIVE,ADDRESS
Mindestens und maxirente ...,UNSURE,UNSURE
Warum LINKS oder SOZIALISMUS nie überlebt??,DIRECTIVE,REQUEST
Dank dafür das ich im Reichen Deutschland so eine Elend ansehen darf,EXPRESSIVE,EXCLUDED
Hat nix mit dem Islam zu tun!,EXPRESSIVE,COMPLAIN
@Grommkor,DIRECTIVE,ADDRESS
@ph_phanuel @SteinbachErika @SawsanChebli,DIRECTIVE,ADDRESS
😂,EXPRESSIVE,expressEMOJI
|LBR| Nur die #Merkel ist Schuld an Überflutung &amp; AfD Erfolg,ASSERTIVE,ASSERT
geht auf die Straße.,DIRECTIVE,REQUIRE
|LBR| Und er wird Sawsan-Chebli-Platz heißen.,ASSERTIVE,PREDICT
nur noch beobachten.,DIRECTIVE,REQUIRE
@nprncbl @AuswaertigesAmt,DIRECTIVE,ADDRESS
raus aus Deutschland.,DIRECTIVE,REQUIRE
Haha.,EXPRESSIVE,REJOICE
@BlauekeP @anna_IIna,DIRECTIVE,ADDRESS
Vielleicht springt ja jetzt der Funke über ... also bei mir.,ASSERTIVE,GUESS
