text,sa_coarse,sa_fine_modified
"Ein ECKBALLTOR , jetzt kann ich beruhigt sterben...",UNSURE,UNSURE
|LBR| Alles andere ist Bullshit.,ASSERTIVE,ASSERT
Sie sollten dringend ärztlichen Beistand suchen.,DIRECTIVE,SUGGEST
"|LBR| im übrigen: wenn du theorie willst, lies die aufhebung",DIRECTIVE,REQUIRE
"die Verstehen nur Körperliche Gewalt,",ASSERTIVE,ASSERT
🔥🔥🔥,EXPRESSIVE,expressEMOJI
"das fängt beim beschatten auf demos an, geht zur verfolgung bis vor die haustür weiter und hört auf wenn du zusammengetreten wirst.",ASSERTIVE,ASSERT
|LBR| Dafür sind die Proteste der Gelbwesten sind jetzt schon tabu auf Twitter.,ASSERTIVE,ASSERT
"ist,",EXPRESSIVE,COMPLAIN
🖕🏻,EXPRESSIVE,expressEMOJI
@TobiasM_28 @Tom174_ @Die_Gruenen,DIRECTIVE,ADDRESS
"|LBR| ""FRESSE!""",DIRECTIVE,REQUIRE
"Warum genau soll ich über meine Gasrechnung eigentlich auch noch ukrainischen Oligarchen die Datscha finanzieren, @katarinabarley?",DIRECTIVE,REQUEST
@anna_IIna,DIRECTIVE,ADDRESS
"3,2,1 irgend ein vertrottelter Gutmensch wird es fordern.",ASSERTIVE,PREDICT
#fcsp,OTHER,OTHER
"ich kotzt das so an,",EXPRESSIVE,COMPLAIN
🤭,EXPRESSIVE,expressEMOJI
|LBR| Wir kaufen immer schon Zewa Soft.,ASSERTIVE,ASSERT
"|LBR| ES WIRD ZEIT, DIESE KRANKE ZU WARNEN!",COMMISSIVE,COMMISSIVE
DDR: Knast wegen Spionage,ASSERTIVE,ASSERT
@wolfssanguis,DIRECTIVE,ADDRESS
Stimmt.,ASSERTIVE,AGREE
"#heuteshow wirbt wieder fürs abschieben ... voll auf rechter Linie ... und das in einem Land welches 2 Weltkriege und Auschwitz zu verantworten hat, ergo Millionen Geflüchtete ...",ASSERTIVE,ASSERT
"Eine ""Sie""also...",ASSERTIVE,ASSERT
"""Ob friedlich oder militant, wichtig ist der Widerstand!""",ASSERTIVE,ASSERT
ihr Schweine,EXPRESSIVE,COMPLAIN
|LBR| Ihre Lügen sind unsere Kraft,ASSERTIVE,ASSERT
|LBR| Gedankenlos.,ASSERTIVE,ASSERT
TOLL,EXPRESSIVE,COMPLAIN
Ich benutze Tagesgeldkonten eher zur Strukturierung als für die Zinsen.,COMMISSIVE,COMMISSIVE
keine Ahnung wie man das nennt!,ASSERTIVE,ASSERT
szenepolizei is on the road,ASSERTIVE,ASSERT
"Roth,Haye,Friedman,die geballte Ladung der Zersetzung!",EXPRESSIVE,COMPLAIN
@AfD_Hamburg @JensHagen12,DIRECTIVE,ADDRESS
@MobyNikk @welt,DIRECTIVE,ADDRESS
TOLL,EXPRESSIVE,COMPLAIN
@rimijo @UFxdl,DIRECTIVE,ADDRESS
:-(,EXPRESSIVE,expressEMOJI
Banken sind der #SPD #CDU #CSU #Grünen #FDP mehr wert als Kinder.,ASSERTIVE,ASSERT
Ösi können das Miststück gerne behalten und direkt abschieben,EXPRESSIVE,COMPLAIN
@BlondJedi @dittmar_katrin,DIRECTIVE,ADDRESS
🖕🏻,EXPRESSIVE,expressEMOJI
"#SPD #CDU #cSU #Grünen #FDP:Ziel von Hartz IV Sanktionen sei nicht, Angst zu erzeugen, sondern zu zeigen,wer nicht spurt braucht auch nichts zu Essen.",ASSERTIVE,ASSERT
@ShakRiet,DIRECTIVE,ADDRESS
Ferkel kann sagen Ziel vollkommen erreicht...,ASSERTIVE,ASSERT
"Wenn man den bisherigen Tagesverlauf zusammenfassen sollte: |LBR| ""Alexa,...""",ASSERTIVE,ASSERT
Ich hatte allerdings mit mehr Demonstranten gerechnet.,ASSERTIVE,ASSERT
@ismail_kupeli,DIRECTIVE,ADDRESS
Diese Grüne ist so weltfremd,ASSERTIVE,ASSERT
|LBR| Gar keine.,ASSERTIVE,ASSERT
"Herausfinden, was geschehen ist.",ASSERTIVE,ASSERT
Mit Hartz IV haben sie keine Rechte mehr,ASSERTIVE,ASSERT
das gehört eindeutig entsorgt...!,DIRECTIVE,REQUIRE
|LBR| Wer bis Ende des Jahres noch steht hat gewonnen!,ASSERTIVE,ASSERT
Wer nutzt den gerade das Massaker von Chemnitz für ein heuchlerisches Konzert?,DIRECTIVE,REQUEST
Mein Traum: #Merkel vor dem Kriegsverbrechertribunal in Den Haag,EXPRESSIVE,WISH
"Das lenkt von den Verbrechen gegen die Menschlichkeit, die die Zionisten in Palästina begehen, ab und sichert nebenbei Fördergelder...",ASSERTIVE,ASSERT
@aufklaerer2017 @Dr_Tati_vanT,DIRECTIVE,ADDRESS
🤢🤢🤢,EXPRESSIVE,expressEMOJI
🤔 |LBR|,EXPRESSIVE,expressEMOJI
"Der Schiri wollte mal einen Elfer pfeifen,",ASSERTIVE,ASSERT
Und das trotz so vieler Hashtags dieses Jahr.,UNSURE,UNSURE
@DanielDOrville2 @jogginghosenafa,DIRECTIVE,ADDRESS
Ich fordere Sie auf: handeln Sie @NATO !!,DIRECTIVE,REQUIRE
😉,EXPRESSIVE,expressEMOJI
der Islam sieht dafür die Todesstrafe vorher.,ASSERTIVE,ASSERT
"Das einzige, was diese Faktenchecks erreichen ist, dass sie diesen neofaschistischen Bullshit als relevant und diskussionswürdig adeln.",EXPRESSIVE,COMPLAIN
5 Monate Untersuchungshaft wegen Benutzung eines Laserpointers.,ASSERTIVE,ASSERT
😡😡😡,EXPRESSIVE,expressEMOJI
anchmal kotzt mich der Dogmatismus der Linken so sehr an.,EXPRESSIVE,COMPLAIN
ich bezog mich auf diesen sonderbaren missbrauch dieses eben so neutralen fetzens für politische zwecke.,ASSERTIVE,ASSERT
"Stegner ist der letzte der über einen anderen sagen sollte, dass derjenige sie nicht mehr alle hat.",ASSERTIVE,ASSERT
"Ich bin nicht in der Verantwortung, Frauen in Führungspositionen zu hieven.",ASSERTIVE,ASSERT
"sie sind so Dumm wie die die 1933 ohne eigenes Denken dem Führer gefolgt sind,",EXPRESSIVE,COMPLAIN
@AnBoe65 @tagesschau,DIRECTIVE,ADDRESS
"Wenn Trump der neue Hitler ist, |LBR| Was ist dann Clinton??",DIRECTIVE,REQUEST
Ist ja auch verständlich.,UNSURE,UNSURE
"keine lächerliche Föhnwelle à la Löw,",ASSERTIVE,ASSERT
@heuteplus,DIRECTIVE,ADDRESS
wird mit einer unsozialen Hungerrente direkt in die Armut geschickt.,EXPRESSIVE,COMPLAIN
"Gerade in Norwegen: Nordlichter im immerdunklen Himmel, geschlossene Schneedecken in endlosen Wäldern und glasklare Flüsse durch eiserne Täler",ASSERTIVE,ASSERT
Fieser Hund!,UNSURE,UNSURE
ich werde ihnen auch in den Hintern Kriechen so bald ich bei der Merkel raus bin.,ASSERTIVE,PREDICT
@Norbinator2403,DIRECTIVE,ADDRESS
passt aber zur beschissenen Lage,EXPRESSIVE,COMPLAIN
"|LBR| gestern wieder alle mitgefiebert, als unsere deutschen Jungs auch den Iberern deren Grenzen aufgezeigt haben?",DIRECTIVE,REQUEST
"Danach noch 2 Minuten mit jedem einzelnen Hinterbliebenen, der unzähligen, unschuldigen, vergewaltigten, abgeschlachteten Frauen und Kindern",EXPRESSIVE,WISH
... es ist ein Segen,ASSERTIVE,ASSERT
Zweimal sitzengeblieben und ohne Schulabschluss.,ASSERTIVE,ASSERT
"Ähm, Frage,",ASSERTIVE,ASSERT
Das Geseiere dieses Pfaffen Gauck widert jeden Aufrechten nur an!,EXPRESSIVE,COMPLAIN
ich will noch mehr kotzen!,EXPRESSIVE,COMPLAIN
Die Rechnung wurde bereits von Daniel getilgt.,ASSERTIVE,ASSERT
Haben viele Zwerge so an sich.,ASSERTIVE,ASSERT
@hejasolar @Siglo76,DIRECTIVE,ADDRESS
@vonBeutelratte @SDGMasterglass @palactnet @stefanolix @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
Es steht im Konjunktiv II.,ASSERTIVE,ASSERT
@Dr_Tati_vanT @HeikoMaas,DIRECTIVE,ADDRESS
Endlich.,EXPRESSIVE,REJOICE
"Flintenuschi kam heute in der Berliner Gedächtniskirche ""groß raus""",ASSERTIVE,ASSERT
@needfull_,DIRECTIVE,ADDRESS
"Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...",EXPRESSIVE,COMPLAIN
Liberale sind Nazis im Wartestand.,ASSERTIVE,ASSERT
Wir wissen doch wo die Grenzen verlaufen,ASSERTIVE,ASSERT
🐷\U261D,EXPRESSIVE,expressEMOJI
Mannis Schwanz kommt da gar nicht vor.,UNSURE,UNSURE
"Als FDJ Funktionärin weiss sie doch,wie das geht.",UNSURE,UNSURE
"|LBR| Echtes Kunststück, dass sich da nicht ausnahmslos jeder verarscht fühlt.",ASSERTIVE,ASSERT
@Bierkrawalle @bullenschubser,DIRECTIVE,ADDRESS
Ich will dieses Arschloch nicht auf freiem Fuß wissen...egal in welchem Land..!,EXPRESSIVE,COMPLAIN
@MarioBuchinger @Tevsa,DIRECTIVE,ADDRESS
"Sie hat ihn aber nicht erfunden und veranstaltet ihn nicht, wie ihr schmierigen Lügner behauptet...",ASSERTIVE,EXCLUDED
@cicero_online,DIRECTIVE,ADDRESS
"Die sogenannte Umwelthilfe kann sich ins Knie ficken, multipel und knochentrocken",EXPRESSIVE,COMPLAIN
zuerst Deutsche dann der Rest der Welt!!!!!!!,DIRECTIVE,REQUIRE
"Muss einem Antifa noch ein Messer in den Bauch gerammt werden, damit ihr die Wichser als das seht, was sie sind?",DIRECTIVE,REQUEST
Oder einen bestimmten Prozentsatz?,DIRECTIVE,REQUEST
"(alle Pferde wiehern),",ASSERTIVE,ASSERT
|LBR| Und nur 200 wackere aufrechte Deutsche gedenken der Opfer durch die AlliertenMördrtruppe in ihren Bombern.,ASSERTIVE,ASSERT
Befürchte.,UNSURE,UNSURE
"|LBR| Von daher, die Ratten verlassen das sinkende Schiff.",ASSERTIVE,ASSERT
"da braucht es nur Traktoren, kaum PKW....",ASSERTIVE,ASSERT
"Wer hat sich denn das Land der Palästinenser mit Gewalt, Mord und Terror angeeignet, vertreibt und massakriert sie seit gut 100 Jahren und jammert nun rum, dass die eigentlichen Einheimischen sich mit ähnlichen Mitteln zur Wehr setzen?",DIRECTIVE,REQUEST
@gundel_gaukeley @petraschnautzer @AlexF50451971,DIRECTIVE,ADDRESS
"Warum glauben Künstler und Intellektuelle eigentlich immer, ihr Fortzug wäre ein Verlust?",DIRECTIVE,REQUEST
“Nur die Deppen von #SPD #CDU #CSU haben das immer noch nicht mitbekommen.,EXPRESSIVE,COMPLAIN
"|LBR| Auch Gamer: ""lol schon das video aus rdr2 gesehen wo er die suffragette auffe gleise schmeißt voll lustig""",ASSERTIVE,ASSERT
das ist die bittere Wahrheit!!!,ASSERTIVE,ASSERT
"Stimmt, die Denunzianten und Gutmenschen haben an dieser Umfrage ein Gefallen gefunden, aber wirklich ärgern tut mich das nicht,",ASSERTIVE,AGREE
"Bundesfamilienministerin Franziska #Giffey #SPD:""Wir sollten nicht gleich das ganze Hartz IV System über den Haufen werfen""",ASSERTIVE,ASSERT
#RelevanteThemenausgegrenz,OTHER,OTHER
|LBR| Bei Asylanten wird Rechtsbeugung zur Regel und Schlafmichel läst sich alles bieten,EXPRESSIVE,COMPLAIN
🙃,EXPRESSIVE,expressEMOJI
Darüber sollte wohl Einigkeit bestehen.,ASSERTIVE,GUESS
Wo Leben wir das solche Django auf Bürger losgelassen werden,DIRECTIVE,ADDRESS
@Korrupt,DIRECTIVE,ADDRESS
🤣🤣🤣,EXPRESSIVE,expressEMOJI
|LBR| Dann richtig wach.,COMMISSIVE,COMMISSIVE
"Nächste Woche in der Jungle World: |LBR| ""UNSERE LIEBLINGSNAZIS - es waren nicht alle schlimm""",UNSURE,UNSURE
"""Gewalt zu Durchsetzung einer parlamentarischen Demokratie""(wie um 1945 geschehen) ist ebenso Feind dieser?",DIRECTIVE,REQUEST
@GewaschenerK,DIRECTIVE,ADDRESS
Weil er Dinge Fotografieret hat die keiner sehen sollte ä!,ASSERTIVE,ASSERT
@Reconquista_E @AchimAwesome,DIRECTIVE,ADDRESS
der Krieg ist lange vorbei.,ASSERTIVE,ASSERT
@mdrkultur,DIRECTIVE,ADDRESS
Die Integrität des Schanzendaches wird durch das starke verlangen niemals Wingl zu berühren extrem verstärkt.,ASSERTIVE,ASSERT
"Aber immer auf die bösen , bösen Rechten schießen!",EXPRESSIVE,COMPLAIN
@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
"aber süß wie die Ferkelmedien Führer treu ""berichten""",EXPRESSIVE,COMPLAIN
Wir leben in einem Irrenhaus.,EXPRESSIVE,COMPLAIN
"Mit Schimp und Schande, geteert und gefedert?",DIRECTIVE,REQUEST
@LucasSchoppe1 @c_lindner @heutejournal,DIRECTIVE,ADDRESS
|LBR| Dann schlafen.,COMMISSIVE,COMMISSIVE
Wie bauchlinks kann ein User bitte sein?,DIRECTIVE,REQUEST
Was meckern die #Gutmenschen und #Bahnhofsklatscher..,DIRECTIVE,REQUEST
@Erdrandbewohner,DIRECTIVE,ADDRESS
wir sind jetzt Islam!,EXPRESSIVE,COMPLAIN
"das alte, morsche und überarbeitete Ding zieht sonst Splitter...",EXPRESSIVE,COMPLAIN
da können sie in dem wüstenstad die Umwelt messen die scwachköpfe die die Welt retten wollen.,EXPRESSIVE,COMPLAIN
Der billige Stricher kann nur noch mit Lügen argumentieren.,EXPRESSIVE,COMPLAIN
"|LBR| Ärztin Hänel wurde zu einer Geldstrafe verurteilt,weil sie für Abtreibungen„geworben“hatte.",ASSERTIVE,SUSTAIN
@EleFand @haiderbekah @Eisbert1887,DIRECTIVE,ADDRESS
So langsam frage ich mich.,ASSERTIVE,ASSERT
#Islamisierung,OTHER,OTHER
"Leute, wacht doch mal auf und lernt zu differenzieren.",DIRECTIVE,REQUIRE
Lüge...,UNSURE,UNSURE
|LBR| Natürlich wird die Lügenpresse was anderes sagen,ASSERTIVE,PREDICT
Sprechen oder sogar etwas gegen Kinderarmut Hartz IV Armut Rentenarmut Hungerlöhne tun so etwas machen Politiker nicht.,ASSERTIVE,ASSERT
S C H E I \U1E9E E !!!,EXPRESSIVE,COMPLAIN
|LBR| Ich mach' den ganzen Tag nichts anderes...,ASSERTIVE,ASSERT
@kliehm @MENA_WATCH,DIRECTIVE,ADDRESS
auch ne isolierte sekte kann dich bedrohen.,ASSERTIVE,EXCLUDED
"da kann man generös über die Probleme hinwegsehen,",EXPRESSIVE,COMPLAIN
|LBR| ableistisch auch noch?,DIRECTIVE,REQUEST
|LBR| Unbeherrscht.,ASSERTIVE,ASSERT
Das sind dann die Vollverschleierten!,UNSURE,UNSURE
"Sollen sie doch schwanger werden,",DIRECTIVE,REQUIRE
@MENA_WATCH @Kaputtnikkkk,DIRECTIVE,ADDRESS
"Und Tierfeinde die mit Vegan und Veggie heucheln, aber wenn der bunte Moslem seinen Amoklauf durchzieht, ist das auf einmal dufte.",EXPRESSIVE,COMPLAIN
Die perverse und dreckige Seite von schön #bunt #diversity,UNSURE,UNSURE
@PoloBenTv @NihiliNietzsche @nanniag @schweizok @KarlMller13 @AfD,DIRECTIVE,ADDRESS
@esschiebel,DIRECTIVE,ADDRESS
Auf keinen (Einzel)-Fall!,EXPRESSIVE,COMPLAIN
Was für ein Depp,EXPRESSIVE,COMPLAIN
Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,EXPRESSIVE,COMPLAIN
"|LBR| Schlägt die Söhne mit allem, was er in die Hand bekommt.",ASSERTIVE,ASSERT
"man zerstört den einzigen Rohstoff des Landes, die Intelligenz, die Innovation, den Erfindungsreichtum...",ASSERTIVE,ASSERT
Auch ich bin für Meidung der Türkei.,ASSERTIVE,ASSERT
LBR| Trockener Sommer = Klimawandel,ASSERTIVE,ASSERT
"Ich fürchte, in Berlin wird es bald einen Platz zum Gedenken an die Opfer des Sexismus geben.",EXPRESSIVE,COMPLAIN
😂 😂 😂,EXPRESSIVE,expressEMOJI
@BlauekeP @anna_IIna,DIRECTIVE,ADDRESS
@SteinbachErika,DIRECTIVE,ADDRESS
Und die Anträge füllen willige Helferinnen und Sozialarbeiterinnen aus.,ASSERTIVE,ASSERT
😳,EXPRESSIVE,expressEMOJI
#FCSP,OTHER,OTHER
|LBR| Nur noch ein Gedanke.,COMMISSIVE,COMMISSIVE
"Und unsere Träumer glauben, dass sie diese wilden bekehren können.",ASSERTIVE,ASSERT
#fcsp,OTHER,OTHER
@Eddie_1412 @Swingtanz,DIRECTIVE,ADDRESS
|LBR| Das heißt Manni.,UNSURE,UNSURE
Unfassbar!!!!,EXPRESSIVE,COMPLAIN
Eine Scheiß Moral haben die Grünen.,EXPRESSIVE,COMPLAIN
"Die korrupte, französische Polizei, das sind doch alles widerliche #Marodeure",EXPRESSIVE,COMPLAIN
"|LBR| Ich blocke den jetzt, weil bei ihm und seiner Blase wachsen mir sonst noch rosa Häschenohren!",ASSERTIVE,SUSTAIN
"Wann hört diese wahnsinnige LINKSGRÜNE Scheiße vonwegen ""Einladung an alle kriminellen Moslems"" der Welt auf ??",DIRECTIVE,REQUEST
@ChayenneHeidi @Jutta98811424 @walsberger49,DIRECTIVE,ADDRESS
"Nicht in ihren heiligen vier Wänden,  wo alles seine deutsche Ordnung hat.",ASSERTIVE,ASSERT
@argonerd,DIRECTIVE,ADDRESS
Unfassbar.,EXPRESSIVE,COMPLAIN
Ob von Merkel oder Schulz?,DIRECTIVE,REQUEST
TOLL,EXPRESSIVE,COMPLAIN
#Tempolimit,OTHER,OTHER
"|LBR| Der Bauch sagt: hau raus,das passt schon.",ASSERTIVE,ASSERT
"Leute,.... Die Statistik kommt vom staatstreuen, linksfaschistischen Schmierblatt Focus.",ASSERTIVE,ASSERT
"Die Frage ist nicht, wie die Scheisse in die Köpfe kommt, sondern wie man sie da wieder raus bekommt.",ASSERTIVE,ASSERT
Genau der Piotoitsche Gelsenkirchener...,UNSURE,UNSURE
Das erspart teure Abschiebungen.,ASSERTIVE,ASSERT
@Tevsa @stefanolix,DIRECTIVE,ADDRESS
#hauptsacheAirBnB,OTHER,OTHER
nützt alles nix!,ASSERTIVE,ASSERT
"Du suchst Dir auch nur Frauen in Burka aus, oder?",DIRECTIVE,REQUEST
@AcarLukas @allesevolution,DIRECTIVE,ADDRESS
@allesevolution @AcarLukas,DIRECTIVE,ADDRESS
Das ist lachhaft.,EXPRESSIVE,COMPLAIN
": das tut die Deutsche Gesellschaft, bestehend  aus Gutmenschen, Duckmäusern und Hatern schon ganz von selbst...",EXPRESSIVE,COMPLAIN
Päderasten und Deutschlandfeinde.,EXPRESSIVE,COMPLAIN
🤓👌👌👌,EXPRESSIVE,expressEMOJI
»Und das - was ich eine besondere Sauerei finde - trotz Anwesenheit des Staatsanwalts.«,EXPRESSIVE,COMPLAIN
"|LBR| Aber Deutschland wird Bunter und Bunter, mit verheerenden Folgen!",UNSURE,UNSURE
Kein Wunder das Bewegungen wie zB Afd usw soviel Zulauf haben .,ASSERTIVE,ASSERT
Irre...,EXPRESSIVE,COMPLAIN
"Liest sich wie #Fake News da es vom linksfaschistischen, staatstreuen Schmierblatt #SPIEGEL kommt.",ASSERTIVE,ASSERT
|LBR| Bundeswehr säubern+Gegenwehr ausschalten,DIRECTIVE,REQUIRE
Bei #Phönix sagte #Nahles auf die frage was ist den jetzt mit Paragrafen 219a das wird die Regierung entscheiden,ASSERTIVE,ASSERT
|LBR| Der Mann habe plötzlich einen nicht näher genannten - Gegenstand gezogen.,ASSERTIVE,ASSERT
@susanne_kasper,DIRECTIVE,ADDRESS
Geh furzen du Godik,DIRECTIVE,REQUIRE
"Schon in zwei Parteien gewesen seiend, zweifle ich das an.",ASSERTIVE,ASSERT
|LBR| Es ist eine Tatsache.,ASSERTIVE,ASSERT
"Wir sind nicht mehr Papst,",ASSERTIVE,ASSERT
"Darf man eigentlich noch sagen, Deutschland den deutschen Ausländer raus?",DIRECTIVE,REQUEST
"dann läuft es aus,",ASSERTIVE,ASSERT
Die Inquisition?,DIRECTIVE,REQUEST
@Fleischauge @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @vonBeutelratte @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva,DIRECTIVE,ADDRESS
Schämen Sie sich.,DIRECTIVE,REQUIRE
@ThomasOppermann,DIRECTIVE,ADDRESS
Diskrimimi!,EXPRESSIVE,COMPLAIN
@ZDFheute,DIRECTIVE,ADDRESS
"|LBR| Jaja, die Unabhängigkeit des Staatsanwalts, muss gegen und für den mutmaßlichen ""Täter""ermitteln,",EXPRESSIVE,COMPLAIN
@sarahgxoxo @welt,DIRECTIVE,ADDRESS
@EGutkin,DIRECTIVE,ADDRESS
@nullachtk,DIRECTIVE,ADDRESS
#fcsp,OTHER,OTHER
@er1k_w @Ralf_Stegner,DIRECTIVE,ADDRESS
"ich mein du bist ja mehr auf Umwelt als Mensch, wenn du weg bist, weniger co2 und so, wa, super Idee oder?",DIRECTIVE,REQUEST
ich komme grade vom Einkaufen und musste wieder an der #Tafel Suppenküche vorbei,ASSERTIVE,ASSERT
"Das sind die so an Bahnhöfen und Grenzen bejubelten armen, vor Gewalt, Krieg und Terror fliehenden Menschen.",ASSERTIVE,ASSERT
🤐,EXPRESSIVE,expressEMOJI
|LBR| Dumm und Dümmer sind die Lehrmeister an deutschen Schulen.,EXPRESSIVE,COMPLAIN
Deutscher Mensch zweiter Klasse?,DIRECTIVE,REQUEST
Wenn die eine Demo sehen sind es für SPD CDU CSU immer Rechts Links Radikale,ASSERTIVE,ASSERT
@allesVersuch,DIRECTIVE,ADDRESS
@Kitkarte,DIRECTIVE,ADDRESS
"Weil nach 80 Jahren der Rosenthal Plan umgesetzt, und die BRD in ein Agrar, Siedlungsland umgebaut wird,",ASSERTIVE,ASSERT
Diese Republik verblödet rapide!,EXPRESSIVE,COMPLAIN
"Stimmungsbarometer heute: |LBR| Mit einem Amazon-Spamversuch-Sackgesicht einen Beef beginnen mit den Worten ""Fuck you, asshole!""",ASSERTIVE,ASSERT
|LBR| Ich versuch es zumindest.,ASSERTIVE,ASSERT
|LBR| Sie haben es versucht |LBR| Doch es nie geschafft,ASSERTIVE,ASSERT
|LBR| Die #SPD unterstellt Frauen in einer prekären Lebenssituation Leichtfertigkeit.,ASSERTIVE,ASSERT
@OleNordman @OZlive,DIRECTIVE,ADDRESS
"Nicht mit dem inneren Feind Altparteienkartell, EU Freunden, Globalisten usw.",UNSURE,UNSURE
SED treu.,ASSERTIVE,ASSERT
"Ich kenne kaum ein Thema was denn Menschen so sehr am Arsch vorbeigeht, wie der vermeintliche spannende Triumphzug dieses Herrn.",ASSERTIVE,ASSERT
Ich biete Ihnen gute Zusammenarbeit an..,COMMISSIVE,COMMISSIVE
@PETADeutschland,DIRECTIVE,ADDRESS
geiler wirds heute nicht mehr,UNSURE,UNSURE
"Offensichtlich sind sie für Sie wertloser als Europäer, denen sie zugestehen, sie für Lebensraum im Nahen Osten zu vertreiben und zu ermorden.",ASSERTIVE,ASSERT
@knebel68 @Jim_Beau_27,DIRECTIVE,ADDRESS
welches Meth nimmt eigentlich @DoroBaer?,DIRECTIVE,REQUEST
😎,EXPRESSIVE,expressEMOJI
Ein Polizeirevier ist kein weibliche Klatschparty mit der besten Freundin.,ASSERTIVE,ASSERT
